FID_1;LABEL;Count_;FID_12;Annee;Saison;LAT;LONG;LAT_D;LONG_D;Esp1;Pres_Esp1;Esp2;Pres_Esp2;Salinite;Temp;DO;pH
402;BR93;23;1955;2020;automne;24,507222;-16,369444;24,50722200000;-16,36944400000;0,00000000000;0;493,42000000000;1;36,44800000000;20,61000000000;5,00100000000;8,00000000000
403;BS93;26;1967;2020;automne;24,661389;-16,322222;24,66138900000;-16,32222200000;0,00000000000;0;0,00000000000;0;36,41700000000;20,07000000000;5,09900000000;7,99940000000
404;BT93;9;1983;2020;automne;24,5825;-16,163056;24,58250000000;-16,16305600000;0,00000000000;0;0,00000000000;0;36,45000000000;20,33000000000;5,19600000000;7,99990000000
405;BU93;21;1988;2020;automne;24,613333;-15,849167;24,61333300000;-15,84916700000;0,00000000000;0;0,00000000000;0;36,41500000000;20,20000000000;5,12800000000;7,99950000000
406;BV93;25;2009;2020;automne;24,605;-15,833333;24,60500000000;-15,83333300000;0,00000000000;0;0,00000000000;0;36,41600000000;20,33000000000;5,12100000000;7,99940000000
407;BW93;14;2034;2020;automne;24,511111;-15,644167;24,51111100000;-15,64416700000;121,59000000000;1;7,11000000000;1;36,44800000000;20,45000000000;5,09800000000;7,96000000000
408;BX93;24;2046;2020;automne;24,594444;-15,406389;24,59444400000;-15,40638900000;19434,00000000000;1;0,00000000000;1;36,41800000000;20,29000000000;5,09400000000;7,96930000000
409;BY93;17;2070;2020;automne;24,526944;-15,247778;24,52694400000;-15,24777800000;2773,08000000000;1;162,25000000000;1;36,44400000000;20,65000000000;5,09500000000;7,96970000000
410;CZ93;4;2087;2020;automne;24,619167;-15,13333;24,61916700000;-15,13333000000;62952,24000000000;1;26,55000000000;1;36,43600000000;19,14000000000;4,70500000000;7,96930000000
411;CA93;4;2091;2020;automne;24,648611;-14,995278;24,64861100000;-14,99527800000;67399,77000000000;1;28,43000000000;1;36,43400000000;19,54000000000;4,71600000000;7,96980000000
412;BO94;2;2095;2020;automne;24,350278;-16,88611;24,35027800000;-16,88611000000;72,53000000000;1;32,16000000000;1;36,44900000000;20,37000000000;5,09600000000;7,99980000000
413;BP94;3;2097;2020;automne;24,340833;-16,73889;24,34083300000;-16,73889000000;279,96000000000;1;124,14000000000;1;36,44900000000;20,32000000000;5,09500000000;7,99980000000
414;BQ94;8;2100;2020;automne;24,458611;-16,500556;24,45861100000;-16,50055600000;0,00000000000;0;0,00000000000;0;36,44700000000;20,08000000000;5,02500000000;8,00000000000
415;BR94;28;2105;2020;automne;24,490833;-16,337778;24,49083300000;-16,33777800000;0,00000000000;0;694,02000000000;1;36,45200000000;20,42000000000;5,10100000000;7,99990000000
416;BS94;21;2118;2020;automne;24,405556;-16,18;24,40555600000;-16,18000000000;386,72000000000;1;700,11000000000;1;36,43100000000;20,55000000000;5,19200000000;7,99950000000
417;BT94;13;2134;2020;automne;24,379444;-16,133333;24,37944400000;-16,13333300000;5962,52000000000;1;2643,95000000000;1;36,45000000000;20,34000000000;5,19600000000;7,99990000000
418;BU94;22;2145;2020;automne;24,414722;-15,8625;24,41472200000;-15,86250000000;4710,74000000000;1;857,12000000000;1;36,42200000000;20,99000000000;5,13100000000;7,99970000000
419;BV94;20;2167;2020;automne;24,354722;-15,751111;24,35472200000;-15,75111100000;925,96000000000;1;168,48000000000;1;36,43400000000;20,52000000000;5,11200000000;7,99980000000
420;BW94;15;2187;2020;automne;24,458056;-15,530278;24,45805600000;-15,53027800000;12067,89000000000;1;706,06000000000;1;36,44700000000;20,66000000000;5,19800000000;7,99990000000
421;BX94;20;2201;2020;automne;24,444444;-15,496667;24,44444400000;-15,49666700000;4716,68000000000;1;275,96000000000;1;36,44200000000;20,93000000000;5,12900000000;7,96000000000
422;BY94;21;2221;2020;automne;24,477778;-15,214444;24,47777800000;-15,21444400000;11832,24000000000;1;692,28000000000;1;36,41700000000;20,27000000000;5,02400000000;7,96950000000
423;BO95;4;2242;2020;automne;24,301667;-16,9722;24,30166700000;-16,97220000000;1081,20000000000;1;479,43000000000;1;36,45200000000;20,41000000000;5,00400000000;7,99990000000
424;BP95;14;2246;2020;automne;24,224444;-16,674167;24,22444400000;-16,67416700000;0,00000000000;0;0,00000000000;0;36,43100000000;20,40000000000;5,00500000000;7,99950000000
425;BQ95;28;2254;2020;automne;24,218611;-16,502222;24,21861100000;-16,50222200000;0,00000000000;0;119,76000000000;1;36,44000000000;20,75000000000;5,02800000000;8,00000000000
426;BR95;24;2270;2020;automne;24,333333;-16,358611;24,33333300000;-16,35861100000;0,00000000000;0;0,00000000000;0;36,43600000000;20,60000000000;5,19200000000;7,99960000000
427;BS95;23;2285;2020;automne;24,314722;-16,328056;24,31472200000;-16,32805600000;0,00000000000;0;0,00000000000;0;36,42500000000;20,46000000000;5,19300000000;7,99940000000
428;BT95;12;2300;2020;automne;24,217778;-16,151667;24,21777800000;-16,15166700000;0,00000000000;0;0,00000000000;0;36,44900000000;20,38000000000;5,19700000000;7,99980000000
429;BU95;22;2310;2020;automne;24,2375;-15,883889;24,23750000000;-15,88388900000;3476,78000000000;1;1541,70000000000;1;36,43800000000;20,79000000000;5,11300000000;7,99970000000
430;BV95;25;2332;2020;automne;24,175556;-15,735;24,17555600000;-15,73500000000;34836,76000000000;1;0,00000000000;1;36,44500000000;20,99000000000;5,12600000000;8,00000000000
431;BW95;37;2357;2020;automne;24,213611;-15,535556;24,21361100000;-15,53555600000;115697,48000000000;1;0,00000000000;1;36,41900000000;20,28000000000;5,19500000000;7,99940000000
432;BX95;6;2394;2020;automne;24,23;-15,489167;24,23000000000;-15,48916700000;4617,50000000000;1;0,00000000000;1;36,43600000000;20,14000000000;5,10500000000;7,96930000000
433;BP96;6;2400;2020;automne;24,158056;-16,691389;24,15805600000;-16,69138900000;0,00000000000;0;0,00000000000;0;36,42800000000;20,53000000000;5,01700000000;7,96950000000
434;BQ96;10;2403;2020;automne;24,137222;-16,651111;24,13722200000;-16,65111100000;0,00000000000;0;0,00000000000;0;36,42900000000;20,14000000000;5,01400000000;7,96950000000
435;BR96;13;2408;2020;automne;24,10278;-16,415556;24,10278000000;-16,41555600000;0,00000000000;0;0,00000000000;0;36,44700000000;20,08000000000;5,02400000000;8,00000000000
436;BS96;11;2415;2020;automne;24,132222;-16,329167;24,13222200000;-16,32916700000;0,00000000000;0;3025,48000000000;1;36,43600000000;20,59000000000;5,19200000000;7,99960000000
